ruleId,appliesTo,trigger,requires,calculation,output,confidenceGate,sourceId
EXTENSION_ELIGIBILITY,procedure.deadline_extension_request,FILING_DATE,ORIGINAL_DEADLINE; request filed earlier than the final three days; justification; no third-party prejudice; first request,ELIGIBLE if filingDate < originalDeadline - 3 days and remaining requirements are met,ELIGIBLE_FOR_AUTOMATIC_HALF_EXTENSION or INELIGIBLE,Do not auto-classify if original deadline or filing timestamp is missing.,BOE_RD1065_ART91
EXTENSION_AUTOMATIC_EFFECT,procedure.deadline_extension_request,ELIGIBLE_REQUEST_FILED,No express denial notified before original deadline,new term = half of initial term; only one extension; express grant may set a shorter extension,AUTO_GRANTED_BY_RULE,The engine must wait for or reconcile any express decision received before original deadline.,BOE_RD1065_ART91
EXTENSION_DECISION_EFFECT,procedure.deadline_extension_decision,DECISION_RESULT,Original act and deadline relation,Use explicit new deadline/duration. Denial only defeats automatic effect if timely under the printed/legal rule.,UPDATED_DEADLINE,Keep original and updated deadline as separate assertions.,BOE_RD1065_ART91
RECTIFICATION_MAX_RESOLUTION,assessment.rectification_request,FILING_DATE,Valid request,Maximum procedure duration: 6 months,PROCEDURE_MAX_DATE,Do not call the request granted merely because six months elapsed; store procedural silence separately.,AEAT_RECTIFICATION_GZ28
RECTIFICATION_PROPOSAL_ALLEGATIONS,assessment.rectification_proposal,EFFECTIVE_NOTIFICATION_DATE,Proposal actually notified,15 days from the day after notification,ALLEGATION_DEADLINE,Never use issue/upload/scan date as substitute.,AEAT_RECTIFICATION_GZ28
RECTIFICATION_RESOLUTION_APPEAL,assessment.rectification_resolution,EFFECTIVE_NOTIFICATION_DATE,Final resolution,1 month from day after notification,APPEAL_DEADLINE,Reposition and economic-administrative claim are alternatives at first instance.,AEAT_RECTIFICATION_GZ28
RECTIFYING_RETURN_PERIOD_APPLICABILITY,filing.rectifying_self_assessment_receipt,MODEL + TAX_PERIOD,Model 303,Monthly: September 2024 onward. Quarterly: Q3 2024 onward. Earlier periods use previous correction system.,RECTIFYING_ROUTE_ALLOWED,Apply exception routes for overcharged VAT and Chapter XI special regimes.,AEAT_VAT_RECTIFYING_303
REVIEW_EXECUTION_ISSUE,review.execution_resolution,REVIEW_RESOLUTION_ENTRY_DATE,Resolution entered at competent execution body,Execution acts should be notified within 1 month,EXECUTION_TARGET_DATE,Entry date is not the same as the review-resolution issue date.,BOE_RD520_ART66
CERTIFICATE_DISAGREEMENT,certificate.specialized; certificate.correction_or_disagreement,CERTIFICATE_RECEIPT_DATE,Certificate content disputed,10 days from day after receipt,DISAGREEMENT_DEADLINE,This is not an ordinary appeal deadline.,AEAT_CERT_CONTRACTORS_G303
CERTIFICATE_REISSUE,certificate.correction_or_disagreement,CORRECTION_ACCEPTED,Issuing body considers certificate incorrect,Issue replacement within 10 days,REISSUE_TARGET_DATE,"If no replacement is appropriate, expect a reasoned communication instead.",AEAT_CERT_CENSUS_G313
CERTIFICATE_GENERAL_VALIDITY,certificate.specialized,ISSUE_DATE,No specific validity rule and no change in determining circumstances,12 months for periodic obligations; 3 months for non-periodic obligations,VALID_UNTIL,Specific certificate rules or changed facts override the general period.,AEAT_CERT_GENERAL_FAQ
